account_id,account_type,balance,tier,card_number,pin
customer-001,Checking,1500,Standard,1111-2222-3333-4444,1234
customer-001,Saving,3000,Standard,9999-8888-7777-6666,5678
customer-002,Checking,5000,Gold,2222-3333-4444-5555,1111
customer-002,Saving,7000,Gold,1212-3434-5656-7878,3333
customer-003,Checking,7500,Platinum,3333-4444-5555-6666,3333
customer-003,Checking,7500,Platinum,7777-8888-9999-0000,4444
customer-003,Saving,7500,Platinum,1212-3434-5656-7878,5555
customer-004,Checking,2000,Standard,4444-5555-6666-7777,6666
customer-004,Saving,2000,Standard,8888-9999-0000-1111,7777
customer-007,Checking,1100,Gold,1234-0000-0000-5678,4321
customer-007,Checking,1100,Gold,9999-0000-1111-1234,4321
customer-007,Saving,2000,Gold,4321-0000-0000-8765,1234
customer-007,Saving,2000,Gold,8888-7777-6666-5555,5678
rich-001,Checking,0,Platinum,8888-1111-2222-3333,1357
rich-001,Saving,0,Platinum,1234-1233-1233-3333,4323
poor-001,Saving,0,Standard,0000-1111-2222-3333,2468
customer-100,Checking,2000,Gold,1111-2222-3333-4444,1234
customer-100,Checking,2000,Gold,9999-0000-1111-2222,1234
customer-100,Saving,3000,Gold,5555-6666-7777-8888,4321
customer-100,Saving,3000,Gold,8888-7777-6666-5555,4321
